emp_id,name,department,salary
E1000,Employee_0,Support,
E1001,Employee_1,HR,142727.0
E1002,Employee_2,HR,
E1003,Employee_3,Support,113104.0
E1004,Employee_4,Sales,
E1005,Employee_5,Engineering,96803.0
E1006,Employee_6,Engineering,126276.0
E1007,Employee_7,Engineering,53483.0
E1008,Employee_8,Support,
E1009,Employee_9,HR,96557.0
E1010,Employee_10,Support,70757.0
E1011,Employee_11,Support,
E1012,Employee_12,Marketing,
E1013,Employee_13,HR,135512.0
E1014,Employee_14,Marketing,92592.0
E1015,Employee_15,Finance,43986.0
E1016,Employee_16,HR,56854.0
E1017,Employee_17,HR,109575.0
E1018,Employee_18,HR,
E1019,Employee_19,Engineering,57266.0
E1020,Employee_20,Engineering,
E1021,Employee_21,Marketing,48141.0
E1022,Employee_22,Marketing,147930.0
E1023,Employee_23,HR,105450.0
E1024,Employee_24,Marketing,125259.0
E1025,Employee_25,Engineering,142235.0
E1026,Employee_26,Support,45707.0
E1027,Employee_27,Support,
E1028,Employee_28,Support,33748.0
E1029,Employee_29,Marketing,125839.0
E1030,Employee_30,Finance,
E1031,Employee_31,Engineering,
E1032,Employee_32,Finance,37392.0
E1033,Employee_33,Marketing,93734.0
E1034,Employee_34,Sales,148906.0
E1035,Employee_35,HR,
E1036,Employee_36,Engineering,72107.0
E1037,Employee_37,Support,79811.0
E1038,Employee_38,Finance,125742.0
E1039,Employee_39,Sales,101295.0
E1040,Employee_40,Sales,51918.0
E1041,Employee_41,Engineering,
E1042,Employee_42,Engineering,
E1043,Employee_43,Sales,73016.0
E1044,Employee_44,HR,34499.0
E1045,Employee_45,HR,78354.0
E1046,Employee_46,Finance,51357.0
E1047,Employee_47,HR,142296.0
E1048,Employee_48,Sales,121412.0
E1049,Employee_49,Sales,
E1050,Employee_50,Marketing,109909.0
E1051,Employee_51,Sales,127888.0
E1052,Employee_52,HR,104543.0
E1053,Employee_53,Support,103744.0
E1054,Employee_54,Finance,126752.0
E1055,Employee_55,Marketing,30301.0
E1056,Employee_56,HR,80336.0
E1057,Employee_57,Finance,
E1058,Employee_58,HR,48070.0
E1059,Employee_59,Marketing,108069.0
E1060,Employee_60,Sales,84748.0
E1061,Employee_61,Support,119912.0
E1062,Employee_62,Marketing,106429.0
E1063,Employee_63,Sales,40966.0
E1064,Employee_64,Marketing,126825.0
E1065,Employee_65,Engineering,83006.0
E1066,Employee_66,Support,84021.0
E1067,Employee_67,HR,102615.0
E1068,Employee_68,HR,47019.0
E1069,Employee_69,Support,
E1070,Employee_70,Engineering,81990.0
E1071,Employee_71,Sales,124841.0
E1072,Employee_72,HR,43500.0
E1073,Employee_73,Engineering,83222.0
E1074,Employee_74,HR,102789.0
E1075,Employee_75,Finance,81293.0
E1076,Employee_76,Sales,
E1077,Employee_77,Finance,
E1078,Employee_78,Support,130793.0
E1079,Employee_79,Sales,46364.0
E1080,Employee_80,Engineering,118223.0
E1081,Employee_81,Sales,89275.0
E1082,Employee_82,Sales,131042.0
E1083,Employee_83,Engineering,68494.0
E1084,Employee_84,Support,55351.0
E1085,Employee_85,Sales,137112.0
E1086,Employee_86,Support,
E1087,Employee_87,Support,90692.0
E1088,Employee_88,Support,115999.0
E1089,Employee_89,HR,118726.0
E1090,Employee_90,Marketing,
E1091,Employee_91,Support,76959.0
E1092,Employee_92,Engineering,69954.0
E1093,Employee_93,Marketing,54466.0
E1094,Employee_94,Support,62307.0
E1095,Employee_95,Engineering,117508.0
E1096,Employee_96,Engineering,114076.0
E1097,Employee_97,Finance,36801.0
E1098,Employee_98,Finance,130843.0
E1099,Employee_99,Sales,76732.0
E1100,Employee_100,Support,72348.0
E1101,Employee_101,Support,
E1102,Employee_102,Marketing,147611.0
E1103,Employee_103,Engineering,
E1104,Employee_104,Support,
E1105,Employee_105,Sales,138492.0
E1106,Employee_106,HR,
E1107,Employee_107,Engineering,52700.0
E1108,Employee_108,HR,91642.0
E1109,Employee_109,Sales,101726.0
E1110,Employee_110,Finance,
E1111,Employee_111,Sales,41023.0
E1112,Employee_112,HR,132023.0
E1113,Employee_113,Engineering,61921.0
E1114,Employee_114,Marketing,68088.0
E1115,Employee_115,Support,57532.0
E1116,Employee_116,Sales,53793.0
E1117,Employee_117,Engineering,
E1118,Employee_118,Support,50309.0
E1119,Employee_119,Finance,
E1120,Employee_120,Finance,
E1121,Employee_121,Support,53574.0
E1122,Employee_122,Finance,40916.0
E1123,Employee_123,Engineering,64816.0
E1124,Employee_124,Sales,142734.0
E1125,Employee_125,Engineering,
E1126,Employee_126,Engineering,
E1127,Employee_127,Support,31252.0
E1128,Employee_128,Marketing,89494.0
E1129,Employee_129,Marketing,36941.0
E1130,Employee_130,Sales,100173.0
E1131,Employee_131,Support,69811.0
